Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posición,Selección,Partidos Internacionales,Goles,Valor Mercado,Última Revisión,Pie,Agente,Proveedor
Iván Morante,Burgos CF,2ª División,31/07/2024,30/06/2026,15/01/2001 (23),León,España,"1,82 m",Mediocentro,Selección no encontrada,5,0,700 mil €,24/06/2024,Izquierdo,Joseba Diaz,Proveedor no encontrado
David González,Burgos CF,2ª División,16/07/2024,30/06/2027,22/06/2002 (22),Burgos,España,"1,80 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,14/10/2024,Izquierdo,Universal Twenty Two,Proveedor no encontrado
Iñigo Córdoba,Burgos CF,2ª División,27/07/2024,30/06/2025,13/03/1997 (27),Bilbao,España,"1,78 m",Extremo izquierdo,Selección no encontrada,2,1,"1,50 mill. €",31/05/2024,Izquierdo,Eugenio Botas ...,Proveedor no encontrado
Dani Ojeda,Burgos CF,2ª División,01/07/2023,30/06/2025,03/12/1994 (29),Las Palmas de Gran ...,España,"1,78 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",24/06/2024,Ambidiestro,YOU FIRST,Proveedor no encontrado
Borja Sánchez,Burgos CF,2ª División,30/08/2024,30/06/2025,26/02/1996 (28),Oviedo,España,"1,86 m",Extremo izquierdo,Selección no encontrada,2,0,"1,00 mill. €",24/06/2024,Derecho,Miembro de su familia,Proveedor no encontrado
Javi López,Burgos CF,2ª División,01/07/2023,30/06/2025,05/05/2001 (23),Barcelona,España,"1,83 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Derecho,CONTROL ORIENTADO,Proveedor no encontrado
Curro Sánchez,Burgos CF,2ª División,03/09/2022,30/06/2027,03/01/1996 (28),La Palma del Condado,España,"1,76 m",Extremo derecho,Selección no encontrada,5,2,"2,20 mill. €",24/06/2024,Izquierdo,Niagara Sur,Proveedor no encontrado
Álex Sancris,Burgos CF,2ª División,01/07/2023,30/06/2025,18/01/1997 (27),Madrid,España,"1,81 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",14/10/2024,Ambidiestro,MESAS SPORT,Nike
Thomas Rodríguez,Burgos CF,2ª División,29/08/2024,30/06/2025,05/04/1996 (28),Vitacura,Chile,"1,84 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,14/10/2024,Derecho,Impacto Deportivo,Proveedor no encontrado
Fer Niño,Burgos CF,2ª División,01/07/2023,30/06/2026,24/10/2000 (23),Rota,España,"1,91 m",Delantero centro,Selección no encontrada,5,2,"2,00 mill. €",24/06/2024,Derecho,YOU FIRST,Proveedor no encontrado
Edu Espiau,Burgos CF,2ª División,01/07/2023,30/06/2025,19/12/1994 (29),Las Palmas de Gran ...,España,"1,85 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Pie no encontrado,Emartsoccer,Proveedor no encontrado
Andrés Fernández,Levante UD,2ª División,18/08/2023,30/06/2025,16/12/1986 (37),Alcantarilla,España,"1,85 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,Bahía Internacional,Proveedor no encontrado
Alfonso Pastor,Levante UD,2ª División,04/07/2024,30/06/2026,04/10/2000 (24),Bujalance,España,"1,90 m",Portero,Selección no encontrada,1,0,200 mil €,14/10/2024,Derecho,Niagara Sur,Proveedor no encontrado
Adrián de la Fuente,Levante UD,2ª División,01/07/2023,30/06/2026,26/02/1999 (25),El Escorial,España,"1,79 m",Defensa central,Selección no encontrada,4,1,"1,00 mill. €",14/10/2024,Derecho,Gesport Espizua SL,Proveedor no encontrado
Unai Elgezabal,Levante UD,2ª División,01/07/2024,30/06/2025,25/04/1993 (31),Barakaldo,España,"1,85 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,24/06/2024,Derecho,MESAS SPORT,Proveedor no encontrado
Jorge Cabello,Levante UD,2ª División,01/07/2024,30/06/2028,25/04/2004 (20),Telde,España,"1,83 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,14/10/2024,Izquierdo,Emartsoccer,Proveedor no encontrado
Diego Pampín,Levante UD,2ª División,22/07/2024,30/06/2025,15/03/2000 (24),Oleiros,España,"1,75 m",Lateral izquierdo,Selección no encontrada,2,0,900 mil €,14/10/2024,Izquierdo,Excellence Sport,Proveedor no encontrado
Marcos Navarro,Información no encontrada,Información no encontrada,Información no encontrada,Información no encontrada,30/05/2004 (20),Ribarroja,España,"1,72 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,24/06/2024,Izquierdo,InterStarDeporte,Proveedor no encontrado
Andrés García,Levante UD,2ª División,01/07/2023,30/06/2027,07/02/2003 (21),València,España,"1,83 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,900 mil €,14/10/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Xavi Grande,Levante UD,2ª División,01/01/2024,30/06/2028,28/01/2005 (19),Almàssera,España,"1,75 m",Lateral derecho,España S19,0,0,200 mil €,24/06/2024,Derecho,ABADSPORT,Proveedor no encontrado
Giorgi Kochorashvili,Levante UD,2ª División,01/07/2022,30/06/2027,29/06/1999 (25),Tiflis,Georgia,"1,78 m",Pivote,Georgia,15,2,"4,00 mill. €",14/10/2024,Derecho,KHALENA SPORT,Proveedor no encontrado
Oriol Rey,Levante UD,2ª División,01/07/2023,30/06/2025,25/02/1998 (26),Barcelona,España,"1,77 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,60 mill. €",24/06/2024,Izquierdo,Unique Sports Group,Proveedor no encontrado
Ángel Algobia,Levante UD,2ª División,10/08/2023,30/06/2025,23/06/1999 (25),Velilla de San ...,España,"1,80 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Derecho,JONATHAN SÁNCHEZ,Proveedor no encontrado
Vicente Iborra,Levante UD,2ª División,09/07/2024,30/06/2025,16/01/1988 (36),Moncada,España,"1,90 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,30/05/2024,Derecho,Wasserman,Proveedor no encontrado
Sergio Lozano,Levante UD,2ª División,06/07/2023,30/06/2026,24/03/1999 (25),Benimuslem,España,"1,75 m",Mediocentro,Selección no encontrada,0,0,"1,50 mill. €",24/06/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Óscar Clemente,Levante UD,2ª División,01/07/2023,30/06/2026,26/03/1999 (25),Adeje,España,"1,76 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Izquierdo,Media Base Sports,Proveedor no encontrado
Roger Brugué,Levante UD,2ª División,01/07/2021,30/06/2026,04/11/1996 (27),Bàscara,España,"1,74 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",14/10/2024,Izquierdo,JV SPORTS,Proveedor no encontrado
Carlos Álvarez,Levante UD,2ª División,12/08/2023,30/06/2027,06/08/2003 (21),Sanlúcar la Mayor,España,"1,68 m",Extremo derecho,Selección no encontrada,6,0,"2,50 mill. €",14/10/2024,Izquierdo,Bahía Internacional,adidas
José Luis Morales,Levante UD,2ª División,05/07/2024,30/06/2025,23/07/1987 (37),Madrid,España,"1,80 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",14/10/2024,Derecho,ABADSPORT,Proveedor no encontrado
Iván Romero,Levante UD,2ª División,12/08/2023,30/06/2026,10/04/2001 (23),La Solana,España,"1,73 m",Delantero centro,Selección no encontrada,0,0,800 mil €,24/06/2024,Derecho,33 Sport,Nike
Fabrício,Levante UD,2ª División,24/08/2022,30/06/2027,08/10/2000 (24),Cachoeira do Sul,Brasil,"1,86 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Derecho,ML3 Football,Proveedor no encontrado
Carlos Espí,Levante UD,2ª División,01/07/2024,30/06/2027,24/07/2005 (19),Tavernes de la ...,España,"1,94 m",Delantero centro,España S19,0,0,300 mil €,14/10/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Salvi Carrasco,CD Tenerife,2ª División,01/07/2024,30/06/2026,25/06/2000 (24),Málaga,España,"1,92 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Pie no encontrado,Niagara Sur,Proveedor no encontrado
Tomeu Nadal,CD Tenerife,2ª División,01/07/2023,30/06/2025,08/02/1989 (35),Manacor,España,"1,88 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Derecho,MESAS SPORT,Proveedor no encontrado
Rubén Alves,CD Tenerife,2ª División,31/07/2024,30/06/2027,07/09/1994 (30),Río de Janeiro,España,"1,84 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Izquierdo,BestFoot FM,Proveedor no encontrado
José León,CD Tenerife,2ª División,01/07/2021,30/06/2026,03/02/1995 (29),Madrid,España,"1,85 m",Defensa central,Selección no encontrada,9,0,700 mil €,24/06/2024,Izquierdo,Best of You,Proveedor no encontrado
José Amo,CD Tenerife,2ª División,12/07/2023,30/06/2026,09/04/1998 (26),Las Pajanosas,España,"1,82 m",Defensa central,Selección no encontrada,3,0,600 mil €,14/10/2024,Derecho,Goal Management,Proveedor no encontrado
Juande Rivas,CD Tenerife,2ª División,01/07/2024,30/06/2027,07/07/1999 (25),Córdoba,España,"1,87 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,Best of You,Proveedor no encontrado
Josep Gayá,CD Tenerife,2ª División,22/07/2024,30/06/2025,07/07/2000 (24),Palma de Mallorca,España,"1,85 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Derecho,Wasserman,Proveedor no encontrado
Adrián Guerrero,CD Tenerife,2ª División,17/07/2024,30/06/2026,28/01/1998 (26),Blanes,España,"1,74 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Izquierdo,Footfeel ISM,Lotto
Fernando Medrano,CD Tenerife,2ª División,02/07/2023,30/06/2026,26/03/2000 (24),Madrid,España,"1,72 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Izquierdo,MRH Football Agency,Proveedor no encontrado
Jérémy Mellot,CD Tenerife,2ª División,01/07/2021,30/06/2027,28/03/1994 (30),Clermont-Ferrand,Francia,"1,78 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",24/06/2024,Derecho,Global Compensation,Proveedor no encontrado
David Rodríguez,CD Tenerife,2ª División,01/07/2023,30/06/2026,26/06/2000 (24),Santa Cruz de ...,España,"1,79 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,14/10/2024,Derecho,Promoesport,Proveedor no encontrado
Yann Bodiger,CD Tenerife,2ª División,01/09/2023,30/06/2026,09/02/1995 (29),Sète,Francia,"1,88 m",Pivote,Selección no encontrada,1,0,800 mil €,24/06/2024,Izquierdo,SMI SPORTS ...,Proveedor no encontrado
Sergio González,CD Tenerife,2ª División,21/07/2021,30/06/2026,14/05/1997 (27),Cartagena,España,"1,84 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Ambidiestro,Proeleven S.A.,Proveedor no encontrado
Yussi Diarra,CD Tenerife,2ª División,02/07/2024,30/06/2027,13/09/1998 (26),Bamako,Malí,"1,74 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Derecho,Niagara Sur,Proveedor no encontrado
Aitor Sanz,CD Tenerife,2ª División,01/07/2013,30/06/2025,13/09/1984 (40),Madrid,España,"1,81 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,24/06/2024,Derecho,Gesport Espizua SL,Proveedor no encontrado
Maikel Mesa,CD Tenerife,2ª División,27/07/2024,30/06/2027,04/06/1991 (33),Santa Cruz de ...,España,"1,88 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Derecho,YOU FIRST,Proveedor no encontrado
Alejandro Cantero,CD Tenerife,2ª División,21/07/2024,30/06/2026,08/06/2000 (24),Madrid,España,"1,84 m",Extremo izquierdo,Selección no encontrada,2,1,"1,20 mill. €",14/10/2024,Derecho,ABADSPORT,Proveedor no encontrado
Marlos Moreno,CD Tenerife,2ª División,04/09/2024,30/06/2026,20/09/1996 (28),Medellín,Colombia,"1,73 m",Extremo izquierdo,Selección no encontrada,8,1,700 mil €,14/10/2024,Derecho,Agente no encontrado,Nike
Waldo Rubio,CD Tenerife,2ª División,19/08/2022,30/06/2027,17/08/1995 (29),Badajoz,España,"1,83 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,24/06/2024,Derecho,Promoesport,Proveedor no encontrado
Álvaro Romero,CD Tenerife,2ª División,01/07/2023,30/06/2026,12/05/1996 (28),Sevilla,España,"1,67 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Derecho,CM Sports Agency,Proveedor no encontrado
Luismi Cruz,CD Tenerife,2ª División,01/07/2024,30/06/2027,23/05/2001 (23),El Puerto de Santa ...,España,"1,66 m",Extremo derecho,Selección no encontrada,0,0,"1,00 mill. €",14/10/2024,Izquierdo,YOU FIRST,adidas
Teto Martín,CD Tenerife,2ª División,01/07/2022,30/06/2027,13/09/2001 (23),Santa Cruz de ...,España,"1,75 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,24/06/2024,Derecho,Footfeel ISM,Proveedor no encontrado
Ángel Rodríguez,CD Tenerife,2ª División,01/07/2023,30/06/2025,26/04/1987 (37),Santa Cruz de ...,España,"1,71 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,14/10/2024,Derecho,Emartsoccer,Proveedor no encontrado
Yanis Senhadji,CD Tenerife,2ª División,02/07/2024,30/06/2025,05/01/2005 (19),Sant Feliu de ...,España,"1,84 m",Delantero centro,España S19,11,3,300 mil €,24/06/2024,Derecho,Goal Management,Proveedor no encontrado
Enric Gallego,CD Tenerife,2ª División,25/08/2021,30/06/2025,12/09/1986 (38),Bon Pastor,España,"1,89 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,14/10/2024,Izquierdo,MagicPlayers,Proveedor no encontrado
Raúl Lizoain,Albacete,2ª División,01/07/2024,30/06/2026,27/01/1991 (33),Las Palmas de Gran ...,España,"1,88 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Cristian Rivero,Albacete,2ª División,05/07/2024,30/06/2025,21/03/1998 (26),Gandia,España,"1,88 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,07/06/2024,Derecho,WAKAI SPORTS,Proveedor no encontrado
Diego González,SD Huesca,2ª División,05/07/2024,30/06/2026,07/05/1999 (25),Villarreal,España,"1,79 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Izquierdo,Emartsoccer,Proveedor no encontrado
Juan Antonio Ros,Albacete,2ª División,25/07/2022,30/06/2025,15/03/1996 (28),Los Nietos,España,"1,88 m",Defensa central,Selección no encontrada,1,0,300 mil €,24/06/2024,Ambidiestro,JV SPORTS,Puma
Jon García,Albacete,2ª División,05/07/2024,30/06/2026,04/06/1991 (33),Bilbao,España,"1,77 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Derecho,SimaSport Soccer,Proveedor no encontrado
Lalo Aguilar,Albacete,2ª División,20/08/2024,30/06/2025,11/06/2002 (22),Madrid,España,"1,88 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,24/06/2024,Derecho,MESAS SPORT,Proveedor no encontrado
Juan María Alcedo,Albacete,2ª División,07/07/2022,30/06/2025,05/02/2001 (23),Rota,España,"1,79 m",Lateral izquierdo,Selección no encontrada,4,0,400 mil €,24/06/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Jaume Costa,Albacete,2ª División,07/08/2024,30/06/2025,18/03/1988 (36),Valencia,España,"1,71 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,14/10/2024,Izquierdo,Toldra Consulting ...,Proveedor no encontrado
Álvaro Rodríguez,Albacete,2ª División,19/07/2022,30/06/2026,22/07/1994 (30),Leganés,España,"1,81 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Derecho,MESAS SPORT,Proveedor no encontrado
Javi Rueda,Albacete,2ª División,07/08/2024,30/06/2025,08/05/2002 (22),Alozaina,España,"1,77 m",Lateral derecho,Selección no encontrada,0,0,400 mil €,14/10/2024,Derecho,DCGLOBALSL,Proveedor no encontrado
Agus Medina,Albacete,2ª División,23/07/2023,30/06/2026,08/09/1994 (30),Barberà del Vallès,España,"1,76 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",24/06/2024,Derecho,Feel Winner,Proveedor no encontrado
Riki Rodríguez,Albacete,2ª División,01/02/2022,30/06/2026,25/09/1997 (27),Oviedo,España,"1,75 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,900 mil €,24/06/2024,Derecho,Eugenio Botas ...,Proveedor no encontrado
Antonio Pacheco,Albacete,2ª División,08/07/2023,30/06/2027,03/01/2002 (22),Callosa de Segura,España,"1,84 m",Mediocentro,Selección no encontrada,2,0,600 mil €,24/06/2024,Derecho,Wasserman,Proveedor no encontrado
Ale Meléndez,Albacete,2ª División,01/07/2024,30/06/2026,13/05/1999 (25),Sevilla,España,Altura no encontrada,Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,14/10/2024,Derecho,CAA Stellar,Proveedor no encontrado
Rai Marchán,Albacete,2ª División,01/02/2024,30/06/2025,11/08/1993 (31),Vilafranca del ...,España,"1,83 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Derecho,MESAS SPORT,Proveedor no encontrado
Javi Villar,Albacete,2ª División,08/07/2024,30/06/2027,15/03/2003 (21),Murcia,España,"1,87 m",Mediocentro,Selección no encontrada,2,0,200 mil €,14/10/2024,Derecho,Footfeel ISM,Proveedor no encontrado
José Carlos Lazo,Albacete,2ª División,20/08/2024,30/06/2026,16/02/1996 (28),Sanlúcar de ...,España,"1,78 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",24/06/2024,Ambidiestro,Niagara Sports ...,Proveedor no encontrado
Jon Morcillo,Albacete,2ª División,02/07/2024,30/06/2026,15/09/1998 (26),Amorebieta-Etxano,España,"1,83 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",24/06/2024,Izquierdo,Football Promotions ...,Proveedor no encontrado
Fidel,Albacete,2ª División,01/02/2024,30/06/2025,27/10/1989 (34),Dehesa de Riotinto,España,"1,80 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Izquierdo,Wasserman,Proveedor no encontrado
Juanma García,Albacete,2ª División,23/07/2022,30/06/2025,20/02/1993 (31),San José de la ...,España,"1,67 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,24/06/2024,Pie no encontrado,Miembro de su familia,Proveedor no encontrado
Alberto Quiles,Albacete,2ª División,04/07/2023,30/06/2025,27/04/1995 (29),Huelva,España,"1,88 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",14/10/2024,Izquierdo,Eugenio Botas ...,Proveedor no encontrado
Higinio Marín,Albacete,2ª División,27/07/2022,30/06/2025,19/10/1993 (31),Calasparra,España,"1,84 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",24/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Nabil Touaizi,Albacete,2ª División,09/08/2024,30/06/2026,01/02/2001 (23),Santomera,Marruecos,"1,83 m",Delantero centro,Selección no encontrada,2,0,200 mil €,24/06/2024,Derecho,IGdreamsfootball,Proveedor no encontrado
Jesús Ruiz,Racing Ferrol,2ª División,02/07/2024,30/06/2025,20/01/1997 (27),Esplugues de ...,España,"1,82 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Derecho,LIAN Sports Group,Proveedor no encontrado
Emilio Bernad,Racing Ferrol,2ª División,13/07/2023,30/06/2025,22/09/1999 (25),La Vall d'Uixó,España,"1,84 m",Portero,Selección no encontrada,1,0,300 mil €,24/06/2024,Izquierdo,JV SPORTS,Proveedor no encontrado
Yoel Rodríguez,Racing Ferrol,2ª División,02/07/2024,30/06/2025,28/08/1988 (36),Vigo,España,"1,84 m",Portero,Selección no encontrada,1,0,200 mil €,14/10/2024,Derecho,YOU FIRST,Joma
Erick Cabaco,Racing Ferrol,2ª División,15/07/2024,30/06/2025,19/04/1995 (29),Montevideo,Uruguay,"1,85 m",Defensa central,Selección no encontrada,0,0,800 mil €,14/10/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Aleksa Puric,Racing Ferrol,2ª División,04/07/2024,30/06/2027,07/07/2003 (21),Šabac,Serbia,"1,96 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,IGdreamsfootball,Proveedor no encontrado
David Castro,Racing Ferrol,2ª División,01/07/2021,30/06/2025,09/10/1995 (29),Cuntis,España,"1,92 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Izquierdo,Balance ...,Proveedor no encontrado
Naldo,Racing Ferrol,2ª División,26/07/2024,30/06/2025,25/08/1988 (36),Santo André,Brasil,"1,88 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,14/10/2024,Derecho,ACE,Proveedor no encontrado
Brais Martínez,Racing Ferrol,2ª División,06/07/2022,30/06/2025,13/12/2001 (22),Vigo,España,"1,75 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,24/06/2024,Izquierdo,F.J.VILLAVERDE,Proveedor no encontrado
Moi Delgado,Racing Ferrol,2ª División,27/07/2023,30/06/2025,18/04/1994 (30),Sevilla,España,"1,72 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Izquierdo,ELITE INTERNACIONAL ...,Proveedor no encontrado
Julián Delmás,Racing Ferrol,2ª División,19/07/2023,30/06/2025,20/04/1995 (29),Zaragoza,España,"1,74 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Aitor Buñuel,Racing Ferrol,2ª División,05/07/2024,30/06/2025,10/02/1998 (26),Tafalla,España,"1,72 m",Lateral derecho,Selección no encontrada,4,1,600 mil €,24/06/2024,Derecho,Footfeel ISM,Proveedor no encontrado
Rober Correa,Racing Ferrol,2ª División,03/09/2024,30/06/2025,20/09/1992 (32),Badajoz,España,"1,80 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,JV SPORTS,Proveedor no encontrado
Álvaro Sanz,Racing Ferrol,2ª División,03/07/2024,30/06/2025,14/02/2001 (23),Caspe,España,"1,70 m",Pivote,Selección no encontrada,9,0,800 mil €,24/06/2024,Derecho,Wasserman,Proveedor no encontrado
Luis Perea,Racing Ferrol,2ª División,02/08/2024,30/06/2025,25/08/1997 (27),Alcalá de Henares,España,"1,91 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Fran Manzanara,Racing Ferrol,2ª División,01/07/2021,30/06/2025,12/09/1996 (28),La Solana,España,"1,82 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Aitor Gelardo,Racing Ferrol,2ª División,01/08/2024,30/06/2025,26/06/2002 (22),Catral,España,"1,80 m",Mediocentro,Selección no encontrada,0,0,300 mil €,24/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Álex López,Racing Ferrol,2ª División,12/07/2019,30/06/2025,11/01/1988 (36),Ferrol,España,"1,78 m",Mediocentro,Selección no encontrada,1,0,100 mil €,24/06/2024,Derecho,Intermedia Sport ...,Proveedor no encontrado
Josep Señé,Racing Ferrol,2ª División,04/07/2023,30/06/2025,10/12/1991 (32),Sant Cugat del ...,España,"1,84 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,Intermedia Sport ...,Nike
Bebé,Racing Ferrol,2ª División,03/09/2024,30/06/2025,12/07/1990 (34),Lisboa,Cabo Verde,"1,90 m",Extremo izquierdo,Cabo Verde,23,6,600 mil €,07/06/2024,Derecho,JV SPORTS,Proveedor no encontrado
Josué Dorrio,Racing Ferrol,2ª División,12/07/2024,30/06/2025,03/03/1994 (30),Bilbao,España,"1,70 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
Nacho Sánchez,Racing Ferrol,2ª División,03/07/2023,30/06/2025,11/02/1993 (31),Las Palmas de Gran ...,España,"1,77 m",Extremo derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,14/10/2024,Derecho,Promoesport,Proveedor no encontrado
Manu Vallejo,Racing Ferrol,2ª División,20/08/2024,30/06/2025,14/02/1997 (27),Chiclana de la ...,España,"1,67 m",Mediapunta,Selección no encontrada,3,0,700 mil €,14/10/2024,Derecho,YOU FIRST,Proveedor no encontrado
Eneko Jauregi,Racing Ferrol,2ª División,18/07/2024,30/06/2025,13/07/1996 (28),Muxika,España,"1,84 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,14/10/2024,Derecho,EGGO Asesores ...,Proveedor no encontrado
