Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Thibaut Courtois,Real Madrid,LaLiga,09/08/2018,30/06/2026,11/05/1992 (32),Bree,Bélgica,"2,00 m",Portero,Selección no encontrada,102,0,"25,00 mill. €",11/10/2024,Izquierdo,Christophe Henrotay,Nike
Andriy Lunin,Real Madrid,LaLiga,01/07/2018,30/06/2030,11/02/1999 (25),"Krasnograd, Kharkiv ...",Ucrania,"1,91 m",Portero,Ucrania,13,0,"25,00 mill. €",07/06/2024,Derecho,Gestifute,adidas
Éder Militão,Real Madrid,LaLiga,01/07/2019,30/06/2028,18/01/1998 (26),Sertãozinho,Brasil,"1,86 m",Defensa central,Brasil,35,2,"60,00 mill. €",07/06/2024,Derecho,UJ Football Talent,adidas
Antonio Rüdiger,Real Madrid,LaLiga,01/07/2022,30/06/2026,03/03/1993 (31),Berlin,Alemania,"1,90 m",Defensa central,Alemania,76,3,"25,00 mill. €",07/06/2024,Derecho,FSB – ...,Under Armour
David Alaba,Real Madrid,LaLiga,01/07/2021,30/06/2026,24/06/1992 (32),Wien,Austria,"1,80 m",Defensa central,Austria,105,15,"15,00 mill. €",11/10/2024,Izquierdo,Miembro de su familia,adidas
Jesús Vallejo,Real Madrid,LaLiga,31/07/2015,30/06/2025,05/01/1997 (27),Zaragoza,España,"1,84 m",Defensa central,Selección no encontrada,0,0,"1,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Nike
Ferland Mendy,Real Madrid,LaLiga,01/07/2019,30/06/2025,08/06/1995 (29),Meulan-en-Yvelines,Francia,"1,80 m",Lateral izquierdo,Francia,10,0,"22,00 mill. €",07/06/2024,Izquierdo,FAIR SPORT MNG,Proveedor no encontrado
Fran García,Real Madrid,LaLiga,01/07/2023,30/06/2027,14/08/1999 (25),Bolaños de ...,España,"1,69 m",Lateral izquierdo,Selección no encontrada,2,0,"15,00 mill. €",07/06/2024,Izquierdo,Be Loyal by Ginés ...,adidas
Daniel Carvajal,Real Madrid,LaLiga,01/07/2013,30/06/2026,11/01/1992 (32),Leganés,España,"1,73 m",Lateral derecho,España,51,1,"12,00 mill. €",07/06/2024,Derecho,Be Loyal by Ginés ...,Puma
Lucas Vázquez,Real Madrid,LaLiga,02/07/2015,30/06/2025,01/07/1991 (33),A Coruña,España,"1,73 m",Lateral derecho,Selección no encontrada,9,0,"4,00 mill. €",07/06/2024,Derecho,AC Talent,adidas
Aurélien Tchouaméni,Real Madrid,LaLiga,01/07/2022,30/06/2028,27/01/2000 (24),Rouen,Francia,"1,88 m",Pivote,Francia,36,3,"100,00 mill. €",07/06/2024,Derecho,ESN,Nike
Federico Valverde,Real Madrid,LaLiga,01/07/2018,30/06/2029,22/07/1998 (26),Montevideo,Uruguay,"1,82 m",Mediocentro,Uruguay,65,7,"130,00 mill. €",11/10/2024,Derecho,Wasserman,Nike
Eduardo Camavinga,Real Madrid,LaLiga,31/08/2021,30/06/2029,10/11/2002 (21),Cabinda,Francia,"1,82 m",Mediocentro,Francia,21,1,"100,00 mill. €",07/06/2024,Izquierdo,CAA Stellar,Nike
Luka Modric,Real Madrid,LaLiga,27/08/2012,30/06/2025,09/09/1985 (39),Zadar,Croacia,"1,72 m",Mediocentro,Croacia,182,27,"6,00 mill. €",07/06/2024,Derecho,Universal Twenty Two,Nike
Dani Ceballos,Real Madrid,LaLiga,14/07/2017,30/06/2027,07/08/1996 (28),Utrera,España,"1,79 m",Mediocentro,Selección no encontrada,13,1,"4,00 mill. €",11/10/2024,Derecho,Miembro de su familia,Nike
Jude Bellingham,Real Madrid,LaLiga,01/07/2023,30/06/2029,29/06/2003 (21),Stourbridge,Inglaterra,"1,86 m",Mediocentro ofensivo,Inglaterra,38,6,"180,00 mill. €",07/06/2024,Derecho,Agente no encontrado,adidas
Brahim Díaz,Real Madrid,LaLiga,06/01/2019,30/06/2027,03/08/1999 (25),Málaga,Marruecos,"1,70 m",Mediocentro ofensivo,Marruecos,6,2,"40,00 mill. €",07/06/2024,Ambidiestro,Sports&Life,adidas
Vinicius Junior,Real Madrid,LaLiga,12/07/2018,30/06/2027,12/07/2000 (24),São Gonçalo,Brasil,"1,76 m",Extremo izquierdo,Brasil,35,5,"200,00 mill. €",11/10/2024,Derecho,Roc Nation Sports,Nike
Rodrygo,Real Madrid,LaLiga,01/07/2019,30/06/2028,09/01/2001 (23),Osasco,Brasil,"1,74 m",Extremo derecho,Brasil,31,7,"110,00 mill. €",07/06/2024,Derecho,Un1que Football,Nike
Arda Güler,Real Madrid,LaLiga,06/07/2023,30/06/2029,25/02/2005 (19),Ankara,Turquía,"1,75 m",Extremo derecho,Turquía,16,3,"45,00 mill. €",18/07/2024,Izquierdo,Miembro de su familia,Nike
Kylian Mbappé,Real Madrid,LaLiga,01/07/2024,30/06/2029,20/12/1998 (25),Paris,Francia,"1,78 m",Delantero centro,Francia,86,48,"180,00 mill. €",03/06/2024,Derecho,Miembro de su familia,Nike
Endrick,Real Madrid,LaLiga,21/07/2024,30/06/2030,21/07/2006 (18),Taguatinga,Brasil,"1,73 m",Delantero centro,Brasil,13,3,"60,00 mill. €",17/06/2024,Izquierdo,Roc Nation Sports,New Balance
Marc-André ter Stegen,FC Barcelona,LaLiga,01/07/2014,30/06/2028,30/04/1992 (32),Mönchengladbach,Alemania,"1,87 m",Portero,Alemania,42,0,"20,00 mill. €",11/10/2024,Derecho,ROOF,adidas
Iñaki Peña,FC Barcelona,LaLiga,30/01/2022,30/06/2026,02/03/1999 (25),Alicante,España,"1,84 m",Portero,Selección no encontrada,0,0,"8,00 mill. €",07/06/2024,Derecho,WAKAI SPORTS,Nike
Wojciech Szczęsny,FC Barcelona,LaLiga,02/10/2024,30/06/2025,18/04/1990 (34),Warszawa,Polonia,"1,96 m",Portero,Selección no encontrada,84,0,"3,00 mill. €",11/10/2024,Derecho,CAA Stellar,Nike
Ronald Araujo,FC Barcelona,LaLiga,05/10/2020,30/06/2026,07/03/1999 (25),Rivera,Uruguay,"1,92 m",Defensa central,Uruguay,20,2,"70,00 mill. €",07/06/2024,Derecho,Excellence Sport,Nike
Pau Cubarsí,FC Barcelona,LaLiga,01/01/2024,30/06/2027,22/01/2007 (17),Estanyol,España,"1,84 m",Defensa central,España,3,0,"40,00 mill. €",11/10/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Andreas Christensen,FC Barcelona,LaLiga,04/07/2022,30/06/2026,10/04/1996 (28),Lillerød,Dinamarca,"1,87 m",Defensa central,Dinamarca,74,3,"30,00 mill. €",11/10/2024,Derecho,KIN Partners,adidas
Eric García,FC Barcelona,LaLiga,01/07/2021,30/06/2026,09/01/2001 (23),Barcelona,España,"1,82 m",Defensa central,España,11,0,"20,00 mill. €",07/06/2024,Derecho,De la Peña & ...,Proveedor no encontrado
Iñigo Martínez,FC Barcelona,LaLiga,05/07/2023,30/06/2025,17/05/1991 (33),Ondarroa,España,"1,82 m",Defensa central,España,21,1,"5,00 mill. €",07/06/2024,Izquierdo,Carmelo Sánchez,Proveedor no encontrado
Alejandro Balde,FC Barcelona,LaLiga,01/07/2022,30/06/2028,18/10/2003 (21),Barcelona,España,"1,75 m",Lateral izquierdo,Selección no encontrada,7,0,"40,00 mill. €",07/06/2024,Izquierdo,Gestifute,Nike
Gerard Martín,FC Barcelona,LaLiga,01/07/2024,30/06/2025,26/02/2002 (22),Esplugues de ...,España,"1,86 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"3,00 mill. €",11/10/2024,Izquierdo,JV SPORTS,Proveedor no encontrado
Jules Koundé,FC Barcelona,LaLiga,28/07/2022,30/06/2027,12/11/1998 (25),Paris,Francia,"1,80 m",Lateral derecho,Francia,36,0,"55,00 mill. €",11/10/2024,Derecho,ESN,adidas
Héctor Fort,FC Barcelona,LaLiga,01/07/2024,30/06/2026,02/08/2006 (18),Barcelona,España,"1,85 m",Lateral derecho,España S19,6,0,"10,00 mill. €",07/06/2024,Derecho,AC Talent,adidas
Marc Casadó,FC Barcelona,LaLiga,01/07/2024,30/06/2028,14/09/2003 (21),Sant Pere de ...,España,"1,72 m",Pivote,España S21,1,0,"15,00 mill. €",11/10/2024,Derecho,Wasserman,Nike
Marc Bernal,FC Barcelona,LaLiga,01/07/2024,30/06/2026,26/05/2007 (17),Berga,España,"1,91 m",Pivote,España S17,9,0,"5,00 mill. €",11/10/2024,Izquierdo,Agente conocido - jugador menor de edad,Proveedor no encontrado
Gavi,FC Barcelona,LaLiga,01/07/2021,30/06/2026,05/08/2004 (20),Los Palacios y ...,España,"1,73 m",Mediocentro,España,27,5,"90,00 mill. €",07/06/2024,Derecho,De la Peña & ...,Nike
Pedri,FC Barcelona,LaLiga,02/09/2019,30/06/2026,25/11/2002 (21),Tegueste,España,"1,74 m",Mediocentro,España,27,2,"80,00 mill. €",07/06/2024,Derecho,LEADERBROCK,adidas
Frenkie de Jong,FC Barcelona,LaLiga,01/07/2019,30/06/2026,12/05/1997 (27),Arkel,Países Bajos,"1,81 m",Mediocentro,Selección no encontrada,54,2,"60,00 mill. €",11/10/2024,Derecho,HCM Sports ...,Nike
Fermín López,FC Barcelona,LaLiga,01/07/2023,30/06/2027,11/05/2003 (21),El Campillo,España,"1,74 m",Mediocentro,España,2,0,"50,00 mill. €",11/10/2024,Derecho,CAA Stellar,Under Armour
Dani Olmo,FC Barcelona,LaLiga,09/08/2024,30/06/2030,07/05/1998 (26),Terrassa,España,"1,79 m",Mediocentro ofensivo,España,40,11,"60,00 mill. €",18/07/2024,Derecho,Niagara Sports ...,adidas
Pablo Torre,FC Barcelona,LaLiga,01/07/2022,30/06/2026,03/04/2003 (21),Soto de la Marina,España,"1,73 m",Mediocentro ofensivo,España S21,12,2,"5,00 mill. €",11/10/2024,Derecho,AC Talent,adidas
Ansu Fati,FC Barcelona,LaLiga,23/09/2020,30/06/2027,31/10/2002 (21),Bissau,España,"1,78 m",Extremo izquierdo,Selección no encontrada,10,2,"15,00 mill. €",11/10/2024,Derecho,Miembro de su familia,Nike
Lamine Yamal,FC Barcelona,LaLiga,01/07/2023,30/06/2026,13/07/2007 (17),Esplugues de ...,España,"1,80 m",Extremo derecho,España,17,3,"150,00 mill. €",11/10/2024,Izquierdo,Agente conocido - jugador menor de edad,adidas
Raphinha,FC Barcelona,LaLiga,13/07/2022,30/06/2027,14/12/1996 (27),Porto Alegre,Brasil,"1,76 m",Extremo derecho,Brasil,29,9,"60,00 mill. €",11/10/2024,Izquierdo,Agente no encontrado,adidas
Ferran Torres,FC Barcelona,LaLiga,01/01/2022,30/06/2027,29/02/2000 (24),Foios,España,"1,84 m",Extremo derecho,España,48,21,"30,00 mill. €",07/06/2024,Derecho,LEADERBROCK,adidas
Robert Lewandowski,FC Barcelona,LaLiga,19/07/2022,30/06/2026,21/08/1988 (36),Warszawa,Polonia,"1,85 m",Delantero centro,Polonia,156,84,"15,00 mill. €",07/06/2024,Derecho,Gol International,Nike
Pau Víctor,FC Barcelona,LaLiga,24/07/2024,30/06/2029,26/11/2001 (22),San Cugat del ...,España,"1,84 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"5,00 mill. €",11/10/2024,Derecho,MagicPlayers,Proveedor no encontrado
Jan Oblak,Atlético Madrid,LaLiga,16/07/2014,30/06/2028,07/01/1993 (31),Škofja Loka,Eslovenia,"1,88 m",Portero,Eslovenia,72,0,"28,00 mill. €",07/06/2024,Derecho,Miha Mlakar,Puma
Juan Musso,Atlético Madrid,LaLiga,27/08/2024,30/06/2025,06/05/1994 (30),San Nicolás de los ...,Argentina,"1,91 m",Portero,Argentina,2,0,"5,00 mill. €",05/06/2024,Derecho,World Soccer Agency,Proveedor no encontrado
Robin Le Normand,Atlético Madrid,LaLiga,27/07/2024,30/06/2029,11/11/1996 (27),Pabu,España,"1,87 m",Defensa central,España,19,1,"40,00 mill. €",07/06/2024,Derecho,AC Talent,Proveedor no encontrado
José María Giménez,Atlético Madrid,LaLiga,25/04/2013,30/06/2028,20/01/1995 (29),Toledo,Uruguay,"1,85 m",Defensa central,Uruguay,90,8,"22,00 mill. €",07/06/2024,Derecho,VIDA 11,Puma
Clément Lenglet,Atlético Madrid,LaLiga,26/08/2024,30/06/2025,17/06/1995 (29),Beauvais,Francia,"1,86 m",Defensa central,Selección no encontrada,15,1,"5,00 mill. €",11/10/2024,Izquierdo,Wasserman,Nike
Axel Witsel,Atlético Madrid,LaLiga,06/07/2022,30/06/2025,12/01/1989 (35),Liège,Bélgica,"1,86 m",Defensa central,Bélgica,132,12,"3,50 mill. €",07/06/2024,Derecho,Nomi Sports,Puma
César Azpilicueta,Atlético Madrid,LaLiga,06/07/2023,30/06/2025,28/08/1989 (35),Pamplona,España,"1,78 m",Defensa central,Selección no encontrada,44,1,"2,00 mill. €",07/06/2024,Derecho,Miembro de su familia,adidas
Reinildo Mandava,Atlético Madrid,LaLiga,31/01/2022,30/06/2025,21/01/1994 (30),Beira,Mozambique,"1,80 m",Lateral izquierdo,Mozambique,35,2,"9,00 mill. €",07/06/2024,Izquierdo,Blueprivate ...,Proveedor no encontrado
Javi Galán,Atlético Madrid,LaLiga,03/07/2023,30/06/2026,19/11/1994 (29),Badajoz,España,"1,72 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"5,00 mill. €",11/10/2024,Izquierdo,CAA Base Ltd,Proveedor no encontrado
Nahuel Molina,Atlético Madrid,LaLiga,28/07/2022,30/06/2027,06/04/1998 (26),Embalse,Argentina,"1,75 m",Lateral derecho,Argentina,45,1,"28,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Conor Gallagher,Atlético Madrid,LaLiga,21/08/2024,30/06/2029,06/02/2000 (24),Epsom,Inglaterra,"1,82 m",Mediocentro,Inglaterra,18,0,"50,00 mill. €",27/05/2024,Derecho,Elite Management ...,Proveedor no encontrado
Rodrigo de Paul,Atlético Madrid,LaLiga,12/07/2021,30/06/2026,24/05/1994 (30),Sarandí,Argentina,"1,80 m",Mediocentro,Argentina,71,2,"30,00 mill. €",07/06/2024,Derecho,Augustin Jimenez,adidas
Pablo Barrios,Atlético Madrid,LaLiga,23/01/2023,30/06/2028,15/06/2003 (21),Madrid,España,"1,81 m",Mediocentro,España S21,7,0,"30,00 mill. €",11/10/2024,Derecho,CAA Stellar,Proveedor no encontrado
Koke,Atlético Madrid,LaLiga,01/01/2011,30/06/2025,08/01/1992 (32),Madrid,España,"1,76 m",Mediocentro,Selección no encontrada,70,0,"12,00 mill. €",07/06/2024,Derecho,Gesport Espizua SL,adidas
Marcos Llorente,Atlético Madrid,LaLiga,01/07/2019,30/06/2027,30/01/1995 (29),Madrid,España,"1,84 m",Interior derecho,España,19,0,"30,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Nike
Samuel Lino,Atlético Madrid,LaLiga,08/07/2022,30/06/2027,23/12/1999 (24),Santo André,Brasil,"1,70 m",Interior izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"30,00 mill. €",07/06/2024,Derecho,ADM Esporte,Proveedor no encontrado
Thomas Lemar,Atlético Madrid,LaLiga,01/07/2018,30/06/2027,12/11/1995 (28),Baie-Mahault,Francia,"1,71 m",Mediocentro ofensivo,Selección no encontrada,27,4,"7,50 mill. €",11/10/2024,Izquierdo,Kemari,adidas
Rodrigo Riquelme,Atlético Madrid,LaLiga,01/07/2020,30/06/2028,02/04/2000 (24),Madrid,España,"1,74 m",Extremo izquierdo,España,2,0,"25,00 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Ángel Correa,Atlético Madrid,LaLiga,01/01/2015,30/06/2026,09/03/1995 (29),Rosario,Argentina,"1,71 m",Extremo derecho,Argentina,25,3,"18,00 mill. €",07/06/2024,Derecho,Augustin Jimenez,Proveedor no encontrado
Julián Alvarez,Atlético Madrid,LaLiga,12/08/2024,30/06/2030,31/01/2000 (24),Calchín,Argentina,"1,70 m",Delantero centro,Argentina,38,10,"75,00 mill. €",11/10/2024,Derecho,Fernando Hidalgo,adidas
Antoine Griezmann,Atlético Madrid,LaLiga,01/07/2023,30/06/2026,21/03/1991 (33),Mâcon,Francia,"1,76 m",Delantero centro,Selección no encontrada,137,44,"25,00 mill. €",07/06/2024,Izquierdo,BY AND FOR,Proveedor no encontrado
Alexander Sørloth,Atlético Madrid,LaLiga,03/08/2024,30/06/2028,05/12/1995 (28),Trondheim,Noruega,"1,95 m",Delantero centro,Noruega,57,20,"25,00 mill. €",07/06/2024,Izquierdo,Keypass AS,Nike
Giuliano Simeone,Atlético Madrid,LaLiga,01/07/2022,30/06/2028,18/12/2002 (21),Roma,Argentina,"1,73 m",Delantero centro,Argentina S23,2,2,"3,00 mill. €",07/06/2024,Derecho,AC Talent,Proveedor no encontrado
Nombre no encontrado,Atlético Madrid,LaLiga,01/07/2021,30/06/2025,06/08/1999 (25),Melilla,España,"1,83 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"2,00 mill. €",24/06/2024,Derecho,Niagara Sports ...,Proveedor no encontrado
Álex Remiro,Real Sociedad,LaLiga,01/07/2019,30/06/2027,24/03/1995 (29),Cascante,España,"1,91 m",Portero,España,1,0,"25,00 mill. €",07/06/2024,Derecho,Feel Winner,Proveedor no encontrado
Unai Marrero,Real Sociedad,LaLiga,01/07/2023,30/06/2027,09/10/2001 (23),Donostia-San ...,España,"1,89 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,07/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Nayef Aguerd,Real Sociedad,LaLiga,30/08/2024,30/06/2025,30/03/1996 (28),Kénitra,Marruecos,"1,90 m",Defensa central,Marruecos,51,1,"35,00 mill. €",27/05/2024,Izquierdo,CANTERASPORT,Proveedor no encontrado
Igor Zubeldia,Real Sociedad,LaLiga,01/07/2017,30/06/2029,30/03/1997 (27),Azkoitia,España,"1,81 m",Defensa central,Selección no encontrada,4,0,"22,00 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Jon Pacheco,Real Sociedad,LaLiga,01/07/2022,30/06/2027,08/01/2001 (23),Elizondo,España,"1,84 m",Defensa central,España,4,0,"15,00 mill. €",07/06/2024,Izquierdo,IDUB GLOBAL,Proveedor no encontrado
Aritz Elustondo,Real Sociedad,LaLiga,04/01/2016,30/06/2026,28/03/1994 (30),Beasain,España,"1,80 m",Defensa central,Selección no encontrada,1,0,"5,00 mill. €",07/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Jon Martín,Real Sociedad B,Primera Federación - Gr. 1,01/07/2023,30/06/2030,23/04/2006 (18),Donostia-San ...,España,"1,87 m",Defensa central,España S19,3,0,"2,00 mill. €",24/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Aihen Muñoz,Real Sociedad,LaLiga,01/07/2019,30/06/2027,16/08/1997 (27),Etxauri,España,"1,75 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"8,00 mill. €",07/06/2024,Izquierdo,YOU FIRST,Proveedor no encontrado
Javi López,Real Sociedad,LaLiga,Fecha de fichaje no encontrada,Contrato no encontrado,25/03/2002 (22),Lugar de nacimiento no encontrado,España,"1,83 m",Lateral izquierdo,España S21,Partidos y goles no encontrados,Partidos y goles no encontrados,"7,50 mill. €",07/06/2024,Izquierdo,Gesport Espizua SL,Proveedor no encontrado
Hamari Traoré,Real Sociedad,LaLiga,01/07/2023,30/06/2025,27/01/1992 (32),Bamako,Malí,"1,75 m",Lateral derecho,Malí,59,3,"6,00 mill. €",07/06/2024,Derecho,LA PLAYERS,Nike
Jon Aramburu,Real Sociedad,LaLiga,Fecha de fichaje no encontrada,Contrato no encontrado,23/07/2002 (22),Lugar de nacimiento no encontrado,Venezuela,"1,76 m",Lateral derecho,Venezuela,Partidos y goles no encontrados,Partidos y goles no encontrados,"5,00 mill. €",19/07/2024,Derecho,BY AND FOR,Proveedor no encontrado
Álvaro Odriozola,Real Sociedad,LaLiga,01/09/2023,30/06/2029,14/12/1995 (28),Donostia-San ...,España,"1,76 m",Lateral derecho,Selección no encontrada,4,1,"1,50 mill. €",11/10/2024,Derecho,Best of You,adidas
Martín Zubimendi,Real Sociedad,LaLiga,10/09/2020,30/06/2027,02/02/1999 (25),Donostia-San ...,España,"1,81 m",Pivote,España,13,1,"60,00 mill. €",11/10/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Urko González de Zarate,Real Sociedad,LaLiga,01/07/2023,30/06/2028,20/03/2001 (23),Vitoria-Gasteiz,España,"1,89 m",Pivote,Selección no encontrada,1,0,"1,20 mill. €",07/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Beñat Turrientes,Real Sociedad,LaLiga,07/08/2022,30/06/2027,31/01/2002 (22),Beasain,España,"1,81 m",Mediocentro,España S21,21,5,"20,00 mill. €",07/06/2024,Derecho,IDUB GLOBAL,Proveedor no encontrado
Luka Sucic,Real Sociedad,LaLiga,02/08/2024,30/06/2029,08/09/2002 (22),Linz,Croacia,"1,85 m",Mediocentro,Croacia,14,0,"15,00 mill. €",21/05/2024,Izquierdo,Soccertalk GmbH,Proveedor no encontrado
Jon Ander Olasagasti,Real Sociedad,LaLiga,01/07/2023,30/06/2025,16/08/2000 (24),Donostia-San ...,España,"1,76 m",Mediocentro,Selección no encontrada,1,0,"1,20 mill. €",07/06/2024,Izquierdo,IDUB GLOBAL,Proveedor no encontrado
Brais Méndez,Real Sociedad,LaLiga,06/07/2022,30/06/2028,07/01/1997 (27),Mos,España,"1,84 m",Mediocentro ofensivo,Selección no encontrada,4,1,"40,00 mill. €",07/06/2024,Izquierdo,InterStarDeporte,Proveedor no encontrado
Arsen Zakharyan,Real Sociedad,LaLiga,19/08/2023,30/06/2029,26/05/2003 (21),Samara,Rusia,"1,83 m",Mediocentro ofensivo,Rusia,8,0,"18,00 mill. €",07/06/2024,Derecho,Pavel Andreev,Nike
Pablo Marín,Real Sociedad,LaLiga,01/07/2024,30/06/2027,03/07/2003 (21),Logroño,España,"1,78 m",Mediocentro ofensivo,Selección no encontrada,2,0,"1,50 mill. €",24/06/2024,Derecho,InterStarDeporte,Proveedor no encontrado
Jon Magunazelaia,Real Sociedad,LaLiga,01/07/2024,30/06/2026,13/07/2001 (23),Eibar,España,"1,80 m",Mediocentro ofensivo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,00 mill. €",07/06/2024,Derecho,Rioja Cermeño S.L.,Proveedor no encontrado
Ander Barrenetxea,Real Sociedad,LaLiga,01/07/2019,30/06/2030,27/12/2001 (22),Donostia-San ...,España,"1,75 m",Extremo izquierdo,Selección no encontrada,14,1,"20,00 mill. €",07/06/2024,Derecho,Wasserman,Proveedor no encontrado
Sheraldo Becker,Real Sociedad,LaLiga,18/01/2024,30/06/2026,09/02/1995 (29),Amsterdam,Surinam,"1,80 m",Extremo izquierdo,Surinam,12,3,"7,50 mill. €",11/10/2024,Derecho,Sports360 GmbH,Puma
Takefusa Kubo,Real Sociedad,LaLiga,19/07/2022,30/06/2029,04/06/2001 (23),"Kawasaki, Kanagawa",Japón,"1,73 m",Extremo derecho,Japón,39,5,"50,00 mill. €",07/06/2024,Izquierdo,Roberto Tukada,Proveedor no encontrado
Sergio Gómez,Real Sociedad,LaLiga,12/07/2024,30/06/2030,04/09/2000 (24),Badalona,España,"1,71 m",Extremo derecho,España,1,0,"10,00 mill. €",27/05/2024,Izquierdo,SEG,Proveedor no encontrado
Mikel Oyarzabal,Real Sociedad,LaLiga,01/01/2016,30/06/2028,21/04/1997 (27),Eibar,España,"1,81 m",Delantero centro,España,39,12,"40,00 mill. €",11/10/2024,Izquierdo,Agente no encontrado,Nike
Orri Óskarsson,Real Sociedad,LaLiga,30/08/2024,30/06/2030,29/08/2004 (20),Reykjavik,Islandia,"1,86 m",Delantero centro,Islandia,12,4,"20,00 mill. €",11/10/2024,Derecho,CAA Stellar,Proveedor no encontrado
Umar Sadiq,Real Sociedad,LaLiga,01/09/2022,30/06/2028,02/02/1997 (27),Kaduna,Nigeria,"1,91 m",Delantero centro,Nigeria,11,1,"6,00 mill. €",11/10/2024,Derecho,CAA Base Ltd,Nike
Unai Simón,Athletic,LaLiga,01/07/2018,30/06/2029,11/06/1997 (27),Vitoria-Gasteiz,España,"1,90 m",Portero,España,46,0,"30,00 mill. €",07/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Julen Agirrezabala,Athletic,LaLiga,01/07/2022,30/06/2027,26/12/2000 (23),Donostia-San ...,España,"1,87 m",Portero,Selección no encontrada,8,0,"10,00 mill. €",11/10/2024,Izquierdo,YOU FIRST,Proveedor no encontrado
Álex Padilla,Athletic,LaLiga,01/07/2024,30/06/2027,01/09/2003 (21),Zarautz,México,"1,90 m",Portero,México S23,3,0,"2,00 mill. €",11/10/2024,Derecho,Wasserman,Proveedor no encontrado
Dani Vivian,Athletic,LaLiga,01/08/2020,30/06/2032,05/07/1999 (25),Vitoria-Gasteiz,España,"1,84 m",Defensa central,España,6,0,"30,00 mill. €",11/10/2024,Derecho,Acción Sport,Proveedor no encontrado
Aitor Paredes,Athletic,LaLiga,01/07/2022,30/06/2029,29/04/2000 (24),Bilbao,España,"1,85 m",Defensa central,Selección no encontrada,8,0,"22,00 mill. €",07/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Yeray Álvarez,Athletic,LaLiga,01/07/2016,30/06/2026,24/01/1995 (29),Barakaldo,España,"1,82 m",Defensa central,Selección no encontrada,0,0,"8,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Unai Núñez,Athletic,LaLiga,28/08/2024,30/06/2025,30/01/1997 (27),Portugalete,España,"1,86 m",Defensa central,Selección no encontrada,1,0,"7,00 mill. €",07/06/2024,Derecho,LEADERBROCK,Proveedor no encontrado
Yuri Berchiche,Athletic,LaLiga,02/07/2018,30/06/2025,10/02/1990 (34),Zarautz,España,"1,81 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,80 mill. €",07/06/2024,Izquierdo,Media Base Sports,Proveedor no encontrado
Adama Boiro,Athletic,LaLiga,01/07/2024,30/06/2029,22/06/2002 (22),Dakar,España,"1,83 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",11/10/2024,Izquierdo,Agente no encontrado,Proveedor no encontrado
Andoni Gorosabel,Athletic,LaLiga,01/07/2024,30/06/2028,04/08/1996 (28),Arrasate,España,"1,74 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"5,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Iñigo Lekue,Athletic,LaLiga,01/07/2016,30/06/2025,04/05/1993 (31),Bilbao,España,"1,80 m",Lateral derecho,Selección no encontrada,0,0,"3,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Óscar de Marcos,Athletic,LaLiga,01/07/2009,30/06/2025,14/04/1989 (35),Laguardia,España,"1,82 m",Lateral derecho,Selección no encontrada,0,0,"1,50 mill. €",07/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Mikel Vesga,Athletic,LaLiga,01/07/2016,30/06/2027,08/04/1993 (31),Vitoria-Gasteiz,España,"1,91 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"4,00 mill. €",07/06/2024,Izquierdo,Football Promotions ...,Proveedor no encontrado
